state,zipcode,number_of_returns,adjusted_gross_income_agi,avg_agi,number_of_returns_with_total_income,total_income_amount,avg_total_income,number_of_returns_with_taxable_income,taxable_income_amount,avg_taxable_income
NY,13820,7780,389909,50.11683805,7780,396714,50.99151671,6040,259893,43.02864238
NY,13825,1540,68947,44.77077922,1540,70168,45.56363636,1190,43208,36.3092437
NY,13827,5310,274410,51.6779661,5310,278290,52.4086629,4110,179057,43.56618005
NY,13830,2200,94110,42.77727273,2200,95346,43.33909091,1690,57850,34.23076923
NY,13832,270,10138,37.54814815,270,10225,37.87037037,200,5894,29.47
NY,13833,1940,86616,44.64742268,1940,87464,45.08453608,1490,53967,36.21946309
NY,13835,650,26551,40.84769231,650,26803,41.23538462,500,16043,32.086
NY,13838,1950,85547,43.87025641,1950,86455,44.33589744,1440,54085,37.55902778
NY,13839,650,25329,38.96769231,650,25589,39.36769231,470,15146,32.22553191
NY,13841,230,9256,40.24347826,230,9392,40.83478261,190,5522,29.06315789
NY,13842,210,10028,47.75238095,210,10165,48.4047619,150,6386,42.57333333
NY,13843,780,33019,42.33205128,780,33482,42.92564103,580,20429,35.22241379
NY,13844,330,12859,38.96666667,330,13033,39.49393939,240,7526,31.35833333
NY,13846,150,6492,43.28,150,6614,44.09333333,120,3944,32.86666667
NY,13849,2000,93006,46.503,2000,94065,47.0325,1550,57727,37.24322581
NY,13850,10060,724189,71.98697813,10060,737336,73.29383698,8160,533281,65.35306373
NY,13856,2690,113768,42.2929368,2690,115317,42.86877323,1950,70214,36.00717949
NY,13861,330,15526,47.04848485,330,15739,47.69393939,260,10243,39.39615385
NY,13862,1810,82191,45.40939227,1810,83287,46.01491713,1390,51220,36.84892086
NY,13863,200,7099,35.495,200,7161,35.805,140,3905,27.89285714
NY,13864,510,20614,40.41960784,510,20945,41.06862745,390,12705,32.57692308
NY,13865,2770,126190,45.55595668,2770,127431,46.00397112,2130,78223,36.72441315
NY,13901,8650,420419,48.6033526,8650,426111,49.26138728,6390,278065,43.51564945
NY,13903,8570,445443,51.97701284,8570,452801,52.83558926,6450,299435,46.42403101
NY,13904,4300,183979,42.78581395,4300,185865,43.2244186,3240,115908,35.77407407
NY,13905,11030,498716,45.21450589,11030,507154,45.97951043,8020,326180,40.67082294
NY,14001,4820,255732,53.05643154,4820,259683,53.87614108,3860,170251,44.10647668
NY,14004,5360,292492,54.56940299,5360,296492,55.31567164,4370,193944,44.38077803
NY,14005,910,42402,46.5956044,910,43995,48.34615385,720,26654,37.01944444
NY,14006,4840,229556,47.42892562,4840,232052,47.9446281,3870,148303,38.32118863
NY,14008,720,33654,46.74166667,720,34117,47.38472222,570,21214,37.21754386
NY,14009,2650,119745,45.18679245,2650,121560,45.87169811,2070,75963,36.69710145
NY,14011,2870,140932,49.10522648,2870,142886,49.78606272,2320,91606,39.48534483
NY,14012,1130,49767,44.04159292,1130,50486,44.67787611,860,30097,34.99651163
NY,14013,730,29866,40.91232877,730,30247,41.43424658,550,17227,31.32181818
NY,14020,10050,454944,45.2680597,10050,462075,45.97761194,7650,292027,38.17346405
NY,14024,730,32568,44.61369863,720,32744,45.47777778,580,20230,34.87931034
NY,14025,1580,99284,62.83797468,1580,101280,64.10126582,1310,68541,52.32137405
NY,14026,390,20192,51.77435897,390,20501,52.56666667,290,13357,46.05862069
NY,14028,730,42484,58.19726027,730,43068,58.99726027,580,28770,49.60344828
NY,14030,780,33025,42.33974359,780,33472,42.91282051,600,20579,34.29833333
NY,14031,4910,589304,120.0211813,4910,603065,122.8238289,3990,463555,116.179198
NY,14032,4040,412713,102.1566832,4040,422149,104.4923267,3360,309305,92.05505952
NY,14033,1170,83647,71.49316239,1170,85117,72.74957265,980,59547,60.7622449
NY,14034,880,39969,45.41931818,880,40519,46.04431818,710,25341,35.6915493
NY,14036,2450,119674,48.84653061,2450,121373,49.54,1950,77495,39.74102564
NY,14037,610,31990,52.44262295,610,32409,53.1295082,490,21281,43.43061224
NY,14040,1120,56331,50.29553571,1120,57094,50.97678571,880,36944,41.98181818
NY,14041,100,3601,36.01,100,3655,36.55,80,1970,24.625
NY,14042,1690,67198,39.76213018,1690,67841,40.14260355,1230,38886,31.61463415
NY,14043,12980,603401,46.48697997,12980,609609,46.96525424,10630,391589,36.83809972
NY,14047,3180,176893,55.62672956,3180,178744,56.20880503,2620,118468,45.21679389
NY,14048,6440,249005,38.66537267,6440,251790,39.09782609,4590,151321,32.96753813
NY,14051,10020,1078095,107.5943114,10020,1105471,110.3264471,8400,821985,97.85535714
NY,14052,8970,753511,84.00345596,8970,773941,86.28104794,7410,552779,74.59905533
NY,14054,610,30682,50.29836066,610,31113,51.00491803,490,19361,39.5122449
NY,14055,720,36512,50.71111111,720,37218,51.69166667,590,23863,40.44576271
NY,14057,4170,247380,59.32374101,4170,251761,60.37434053,3360,168553,50.16458333
NY,14058,1060,54161,51.09528302,1060,55546,52.40188679,850,34865,41.01764706
NY,14059,4960,356022,71.77862903,4960,361859,72.95544355,4130,253145,61.29418886
NY,14060,180,7174,39.85555556,180,7276,40.42222222,150,4165,27.76666667
NY,14062,1530,71056,46.44183007,1530,72239,47.21503268,1170,45579,38.95641026
NY,14063,5110,269941,52.8260274,5110,274277,53.67455969,3990,180057,45.12706767
NY,14065,770,31815,41.31818182,770,32801,42.5987013,600,18341,30.56833333
NY,14066,490,22068,45.03673469,490,22527,45.97346939,380,13923,36.63947368
NY,14067,2400,116674,48.61416667,2400,118217,49.25708333,1930,74488,38.59481865
NY,14068,3580,296223,82.74385475,3580,303090,84.66201117,2930,218571,74.59761092
NY,14069,450,25978,57.72888889,450,26395,58.65555556,380,17246,45.38421053
NY,14070,2300,97135,42.2326087,2300,98085,42.64565217,1780,61355,34.46910112
NY,14072,10580,776850,73.42627599,10580,790932,74.75727788,8870,557395,62.84047351
NY,14075,22270,1371342,61.57799731,22270,1390901,62.45626403,18350,955740,52.08392371
NY,14080,2130,120611,56.62488263,2130,122789,57.64741784,1770,80864,45.68587571
NY,14081,1220,55084,45.15081967,1220,55823,45.75655738,900,34513,38.34777778
NY,14082,230,11362,49.4,230,11821,51.39565217,190,7192,37.85263158
NY,14085,3740,264580,70.74331551,3740,267596,71.54973262,3190,184137,57.72319749
